code,area
22461,53460930.188714996
23101,303315.7321232905
23102,561989.1180241738
23103,856374.5361352925
23104,3065818.8954385403
23105,2201585.1372438883
23106,4235458.897090937
23110,1617115.2868259791
23111,3174007.2463161745
23112,230545.58432796595
23113,3463974.5169225982
23114,11434347.257966388
23115,298181.4755758065
23116,1290880.7669205593
23201,13474498.430764847
23202,19441407.612953268
23203,4791971.916996676
23204,5941685.963208567
23205,2266457.310614356
23206,17400718.34970293
23207,1652067.2984135384
23208,686777.5581411811
23209,1157203.411509758
23210,6667799.141785586
23211,34650517.83953914
23212,7895236.091196286
23213,30657057.947766595
23214,1394292.7504622536
23215,498208.8462116819
23216,1691009.3770823346
23217,7077343.359590093
23219,5449030.574842167
23220,2888102.1378980754
23221,545535.1420529083
23222,1073352.7404673328
23223,1840718.3700408698
23224,2345307.4809149876
23225,2587001.9509614035
23226,3279175.2310387683
23227,21372.135227314167
23228,2441316.0049866764
23229,4280712.601711608
23230,2242943.2032783823
23231,7560201.28818907
23233,2102991.3058098494
23234,396744.76335860475
23235,1405979.0811342848
23236,16217836.726681646
23237,691842.0645188005
23238,2948680.090849076
23302,2467537.4891034123
23342,199899.40455495295
23361,12729901.159414526
23362,4345627.010126482
23424,572141.3538263926
23425,436774.1738792823
23427,492697.8420286849
23441,462541.88658030273
23442,389255.58390243043
23446,859683.8150013506
23447,444856.49432164524
23482,25.173028941110193
23501,3023016.4954990833
23521,1008.089708400399
23561,55052550.883252636
23562,121700.00468262524
23563,949637.1112807079
24201,43203957.36168135
24202,20196969.560000356
24203,11735967.638397457
24204,36062177.96495155
24205,7830025.861590525
24207,11287399.586120468
24208,8861419.103538102
24209,202307.9059831114
24210,2595370.659278295
24211,36314118.098848745
24212,1630255.7153792374
24214,20950940.03526372
24215,57567529.05112511
24216,86439243.16505244
24303,2758078.2829530346
24324,7333094.455884861
24341,711361.8871047366
24343,1183862.3038976002
24344,1395158.7171728986
24441,10679637.138076948
24442,3208261.59769735
24443,6890375.087014985
24461,17401.260256346002
24470,3907833.8918765876
24471,4250560.620722259
24472,1310500.6676654643
24543,2387770.2020810302
24561,15214874.09290866
24562,3233518.878540089
25201,21694503.693264794
25202,10239546.880288698
25203,97988221.44493982
25204,33217610.021007665
25206,5126182.635234927
25207,11637373.818409044
25208,5896636.894868334
25209,31554142.78133425
25210,14278200.665845428
25211,9005622.648842288
25212,47226346.87889943
25213,75315361.79488948
25214,25236046.722165417
25383,21435954.278001647
25384,16532088.464357626
25421,208.66496164434912
25425,14177398.577111287
25441,3623364.545125449
25442,8149704.763481934
25443,5271241.303126939
26101,372638.4595502499
26102,527445.4703834617
26103,1881907.1981626481
26104,501510.98008195416
26105,244665.67062501007
26106,896286.9382734561
26107,1678765.8910479909
26108,3755914.350748019
26109,4815357.031928221
26110,1065188.4149242828
26111,5332076.793716761
